연도,학교,기숙사 수용률,2023기준 존재여부
2019,가톨릭꽃동네대학교 ,42.9,False
2019,가톨릭대학교 ,15.9,False
2019,가톨릭대학교 _제2캠퍼스,7.7,False
2019,가톨릭대학교 _제3캠퍼스,107.7,False
2019,감리교신학대학교 ,21.2,False
2019,강남대학교 ,13.5,False
2019,강서대학교 ,9.4,False
2019,강원대학교 ,28.8,False
2019,강원대학교 _제2캠퍼스,48.1,False
2019,건국대학교 ,18.5,False
2019,건국대학교(글로컬) _분교,30.8,False
2019,건양대학교 ,40.5,False
2019,건양대학교 _제2캠퍼스,34.0,False
2019,경기대학교 ,18.0,False
2019,경기대학교 _제2캠퍼스,0.0,False
2019,경남과학기술대학교 ,18.8,False
2019,경남대학교 ,13.8,False
2019,경동대학교 ,56.0,False
2019,경동대학교 _제3캠퍼스,26.5,False
2019,경동대학교 _제4캠퍼스,23.6,False
2019,경북대학교 ,22.0,False
2019,경상국립대학교 ,28.9,False
2019,경성대학교 ,11.1,False
2019,경운대학교 ,33.1,False
2019,경인교육대학교 ,39.5,False
2019,경인교육대학교 _제2캠퍼스,54.6,False
2019,경일대학교 ,23.4,False
2019,경희대학교 ,21.4,False
2019,계명대학교 ,10.8,False
2019,고려대학교 ,10.7,False
2019,고려대학교(세종) _분교,37.2,False
2019,고신대학교 ,36.3,False
2019,공주교육대학교 ,44.4,False
2019,광신대학교 ,24.2,False
2019,광운대학교 ,11.7,False
2019,광주가톨릭대학교 ,208.4,False
2019,광주과학기술원 ,102.0,False
2019,광주교육대학교 ,36.5,False
2019,광주대학교 ,27.8,False
2019,광주여자대학교 ,30.1,False
2019,국립강릉원주대학교 ,36.2,False
2019,국립강릉원주대학교 _제2캠퍼스,29.1,False
