기준연도,학교명,재학생,1인당장학금
2012,경운대학교(산업대),"4,116",2824200
2012,경인교육대학교,"1,430",1443100
2012,경인교육대학교 _제2캠퍼스,"1,492",1459700
2012,경일대학교,"5,627",2146900
2012,경희대학교,"24,463",2282000
2012,계명대학교,"22,656",2413200
2012,고려대학교,"19,588",2240700
2012,고려대학교(세종) _분교,"6,797",1872900
2012,고신대학교,"3,964",2456500
2012,공주교육대학교,"1,792",1132900
2012,광신대학교,496,3645000
2012,광운대학교,"8,632",1618700
2012,광주가톨릭대학교,84,0
2012,광주과학기술원,267,7142800
2012,광주교육대학교,"1,645",2119700
2012,광주대학교,"6,405",2491500
2012,광주대학교(산업대),58,958900
2012,광주여자대학교,"4,026",2274500
2012,국립강릉원주대학교,"5,961",1765000
2012,국립강릉원주대학교 _제2캠퍼스,"2,075",1858700
2012,국립경국대학교,"6,296",1886300
2012,국립공주대학교,"13,859",1863800
2012,국립군산대학교,"7,367",1953200
2012,국립금오공과대학교,"6,474",1876800
2012,국립목포대학교,"7,675",1768700
2012,국립목포해양대학교,"2,437",1557000
2012,국립부경대학교,"16,724",2071300
2012,국립순천대학교,"7,266",1813200
2012,국립창원대학교,"8,483",1770800
2012,국립한국교통대학교,"5,189",1740500
2012,국립한국해양대학교,"6,508",2160400
2012,국립한밭대학교,"2,006",1583000
2012,국민대학교,"14,717",2087800
2012,극동대학교,"4,195",2494800
2012,금강대학교,364,8575100
2012,김천대학교,"2,237",1999800
2012,나사렛대학교,"5,592",2574700
2012,남부대학교,"3,020",2603300
2012,남서울대학교,"2,492",1723500
2012,남서울대학교(산업대),"7,657",2495000
2012,단국대학교,"11,475",2102300
2012,단국대학교(천안) _분교,"11,827",2135600
2012,대구가톨릭대학교,"13,097",1810100
2012,대구교육대학교,"1,935",1393900
2012,대구대학교,"18,833",1876800
2012,대구예술대학교,"1,251",1882900
2012,대구외국어대학교,364,1461100
2012,대구한의대학교,"6,455",1942700
2012,대신대학교,438,2687000
2012,대전가톨릭대학교,113,4135800
2012,대전대학교,"9,644",1810200
2012,대전신학교,45,1075700
2012,대전신학대학교,162,2743300
2012,대진대학교,"7,936",2010700
2012,덕성여자대학교,"6,048",1698700
2012,동국대학교,"13,545",2392900
2012,동국대학교(WISE) _분교,"8,299",2680100
2012,동덕여자대학교,"7,572",1870100
2012,동명대학교,"7,940",2068900
2012,동명정보대학교,504,944300
2012,동서대학교,"10,799",2213700
2012,동신대학교,"6,494",2312200
2012,동아대학교,"20,649",2084000
2012,동양대학교,"4,105",1946000
2012,동의대학교,"16,787",1811100
2012,루터대학교,481,2001500
2012,명지대학교,"7,061",2225900
2012,명지대학교 _제2캠퍼스,"6,989",2078500
2012,목원대학교,"9,126",2092800
2012,목포가톨릭대학교,553,2442500
2012,배재대학교,"8,884",2253300
2012,백석대학교,"13,133",2627200
