기준연도,학교명,단과대학,학과,구분,학기,재학생,1인당장학금
2021,가톨릭관동대학교,미디어예술대학,뷰티디자인전공,주간,2학기,63,1577169.8
2021,가톨릭관동대학교,미디어예술대학,뷰티디자인학과,주간,1학기,22,1941648.2
2021,가톨릭관동대학교,미디어예술대학,뷰티디자인학과,주간,2학기,21,1599476.2
2021,가톨릭관동대학교,미디어예술대학,실용음악전공,주간,1학기,95,1680953.9
2021,가톨릭관동대학교,미디어예술대학,실용음악전공,주간,2학기,89,1732668.1
2021,가톨릭관동대학교,미디어예술대학,실용음악학과,주간,1학기,22,1585478.2
2021,가톨릭관동대학교,미디어예술대학,실용음악학과,주간,2학기,19,1861526.3
2021,가톨릭관동대학교,미디어예술대학,콘텐츠제작전공,주간,1학기,150,1385632.0
2021,가톨릭관동대학교,미디어예술대학,콘텐츠제작전공,주간,2학기,153,1641728.4
2021,가톨릭관동대학교,미디어예술대학,콘텐츠제작학과,주간,1학기,26,1595698.8
2021,가톨릭관동대학교,미디어예술대학,콘텐츠제작학과,주간,2학기,23,1365830.4
2021,가톨릭꽃동네대학교,단과대구분없음,간호학과,주간,1학기,216,2075912.9
2021,가톨릭꽃동네대학교,단과대구분없음,간호학과,주간,2학기,205,2293406.3
2021,가톨릭꽃동네대학교,단과대구분없음,사회복지·상담심리학부,주간,1학기,79,2348692.7
2021,가톨릭꽃동네대학교,단과대구분없음,사회복지·상담심리학부,주간,2학기,79,2303164.4
2021,가톨릭꽃동네대학교,단과대구분없음,사회복지・상담심리학부 사회복지학과,주간,1학기,27,0.0
2021,가톨릭꽃동네대학교,단과대구분없음,사회복지・상담심리학부 사회복지학과,주간,2학기,27,0.0
2021,가톨릭꽃동네대학교,단과대구분없음,사회복지・상담심리학부 상담심리학과,주간,1학기,14,0.0
