기준년도,학교,계열,편제정원,"재학생 충원율(%)
(B/A) × 100"
2012,부산디지털대학교,인문ㆍ사회계열,4000,56.3
2012,부산외국어대학교,자연과학계열,120,81.7
2012,부산외국어대학교,공학계열,490,83.9
2012,부산외국어대학교,예ㆍ체능계열,330,81.5
2012,부산외국어대학교,인문ㆍ사회계열,7660,109
2012,부산장신대학교,인문ㆍ사회계열,280,98.2
2012,삼육대학교,인문ㆍ사회계열,1910,116.6
2012,삼육대학교,자연과학계열,2040,105.2
2012,삼육대학교,공학계열,358,91.9
2012,삼육대학교,예ㆍ체능계열,780,108.1
2012,상명대학교,예ㆍ체능계열,1080,99.2
2012,상명대학교,인문ㆍ사회계열,2740,121.4
2012,상명대학교,자연과학계열,1490,125.5
2012,상명대학교,공학계열,290,106.2
2012,상명대학교(천안) _분교,인문ㆍ사회계열,1590,110.3
2012,상명대학교(천안) _분교,자연과학계열,490,109.4
2012,상명대학교(천안) _분교,공학계열,1080,103.7
2012,상명대학교(천안) _분교,예ㆍ체능계열,2640,111
2012,상지대학교,인문ㆍ사회계열,4080,104
2012,상지대학교,자연과학계열,1855,94.3
2012,상지대학교,공학계열,1115,89.6
2012,상지대학교,의학계열,240,105.8
2012,상지대학교,예ㆍ체능계열,954,95
2012,서강대학교,인문ㆍ사회계열,4140,138.4
2012,서강대학교,자연과학계열,856,106.1
2012,서강대학교,공학계열,1564,115.3
2012,서경대학교,자연과학계열,320,138.1
2012,서경대학교,예ㆍ체능계열,1400,115.6
2012,서경대학교,공학계열,1600,102.3
2012,서경대학교,인문ㆍ사회계열,2320,125.5
2012,서남대학교,예ㆍ체능계열,822,11.2
2012,서남대학교,의학계열,196,93.9
2012,서남대학교,공학계열,217,7.8
2012,서남대학교,자연과학계열,1896,42.4
2012,서남대학교,인문ㆍ사회계열,951,11.3
2012,서남대학교 _제2캠퍼스,예ㆍ체능계열,133,51.1
2012,서남대학교 _제2캠퍼스,자연과학계열,395,51.9
2012,서남대학교 _제2캠퍼스,공학계열,340,42.6
2012,서남대학교 _제2캠퍼스,인문ㆍ사회계열,3076,19.5
2012,서울과학기술대학교,인문ㆍ사회계열,1027,116.9
2012,서울과학기술대학교,자연과학계열,520,104.6
2012,서울과학기술대학교,공학계열,7074,121.7
2012,서울과학기술대학교,예ㆍ체능계열,1120,136
2012,서울교육대학교,예ㆍ체능계열,329,111.2
2012,서울교육대학교,인문ㆍ사회계열,825,108.6
2012,서울교육대학교,자연과학계열,524,106.9
2012,서울기독대학교,인문ㆍ사회계열,440,125
2012,서울기독대학교,예ㆍ체능계열,240,87.5
2012,서울대학교,의학계열,428,132.9
2012,서울대학교,예ㆍ체능계열,1140,124.5
2012,서울대학교,공학계열,3162,118.2
2012,서울대학교,자연과학계열,3644,117.2
2012,서울대학교,인문ㆍ사회계열,4457,148.7
2012,서울디지털대학교,인문ㆍ사회계열,8860,92.2
2012,서울디지털대학교,예ㆍ체능계열,3140,86.1
2012,서울시립대학교,예ㆍ체능계열,544,111.6
2012,서울시립대학교,공학계열,2640,123.6
2012,서울시립대학교,자연과학계열,680,116.3
2012,서울시립대학교,인문ㆍ사회계열,3248,132.7
2012,서울신학대학교,인문ㆍ사회계열,1830,108.4
2012,서울신학대학교,예ㆍ체능계열,330,103.3
2012,서울여자대학교,예ㆍ체능계열,800,108.3
2012,서울여자대학교,자연과학계열,2200,109.5
2012,서울여자대학교,인문ㆍ사회계열,3920,125.2
2012,서울장신대학교,인문ㆍ사회계열,348,118.1
2012,서울장신대학교,예ㆍ체능계열,140,89.3
2012,서울한영대학교,예ㆍ체능계열,80,80
2012,서울한영대학교,인문ㆍ사회계열,720,96.3
2012,서원대학교,예ㆍ체능계열,1030,89.5
2012,서원대학교,공학계열,830,88.7
2012,서원대학교,인문ㆍ사회계열,3848,97.1
2012,서원대학교,자연과학계열,1300,96.7
2012,선교청대학교,인문ㆍ사회계열,215,53
2012,선문대학교,자연과학계열,1118,105.2
2012,선문대학교,예ㆍ체능계열,679,83.5
2012,선문대학교,공학계열,2906,89.7
2012,선문대학교,인문ㆍ사회계열,4549,116.9
2012,성결대학교,예ㆍ체능계열,720,116.7
2012,성결대학교,공학계열,1240,99.7
2012,성결대학교,인문ㆍ사회계열,3160,109.7
2012,성공회대학교,자연과학계열,160,109.4
2012,성공회대학교,공학계열,600,90.7
2012,성공회대학교,인문ㆍ사회계열,1400,117.8
2012,성균관대학교,예ㆍ체능계열,1236,115.6
2012,성균관대학교,인문ㆍ사회계열,6448,154.2
2012,성균관대학교,자연과학계열,1684,110.6
2012,성균관대학교,공학계열,4599,129.9
2012,성균관대학교,의학계열,80,100
2012,성신여자대학교,자연과학계열,1981,116.9
2012,성신여자대학교,예ㆍ체능계열,2040,104.5
2012,성신여자대학교,인문ㆍ사회계열,4852,122.7
2012,세명대학교,공학계열,1160,90.2
2012,세명대학교,인문ㆍ사회계열,4120,97.6
2012,세명대학교,자연과학계열,1980,96.8
2012,세명대학교,의학계열,160,123.1
2012,세명대학교,예ㆍ체능계열,1120,87.9
2012,세종대학교,자연과학계열,985,87.8
2012,세종대학교,공학계열,4220,122.4
2012,세종대학교,예ㆍ체능계열,1340,118.1
2012,세종대학교,인문ㆍ사회계열,2735,131.1
2012,세한대학교,인문ㆍ사회계열,1880,90.9
2012,세한대학교,자연과학계열,820,97.1
2012,세한대학교,공학계열,250,48.8
2012,세한대학교,예ㆍ체능계열,1900,77.3
2012,송원대학교,자연과학계열,240,102.9
2012,송원대학교,공학계열,200,102.5
2012,송원대학교,인문ㆍ사회계열,300,105
2012,송원대학교,예ㆍ체능계열,60,105
2012,수원가톨릭대학교,인문ㆍ사회계열,360,52.2
2012,수원대학교,인문ㆍ사회계열,3115,117.1
2012,수원대학교,자연과학계열,1560,99.5
2012,수원대학교,공학계열,3340,110
2012,수원대학교,예ㆍ체능계열,2460,99.3
2012,숙명여자대학교,자연과학계열,1955,108.7
2012,숙명여자대학교,예ㆍ체능계열,1520,109.3
2012,숙명여자대학교,인문ㆍ사회계열,5637,129.1
2012,순복음총회신학교,인문ㆍ사회계열,600,34.5
2012,순천향대학교,예ㆍ체능계열,1040,98.1
2012,순천향대학교,공학계열,2620,104.1
2012,순천향대학교,자연과학계열,2379,100.8
2012,순천향대학교,인문ㆍ사회계열,3975,121.7
2012,순천향대학교,의학계열,372,100.5
2012,숭실대학교,인문ㆍ사회계열,4873,149.6
2012,숭실대학교,자연과학계열,955,104.7
2012,숭실대학교,공학계열,4722,125.3
2012,숭실대학교,예ㆍ체능계열,180,97.8
2012,신경주대학교,공학계열,485,44.1
2012,신경주대학교,자연과학계열,681,73
2012,신경주대학교,인문ㆍ사회계열,4003,67.7
2012,신경주대학교,예ㆍ체능계열,505,53.5
2012,신라대학교,공학계열,1405,89.9
2012,신라대학교,예ㆍ체능계열,1141,92.7
