기준년도,학교명,대학자체대계열,재적학생,중도탈락학생,중도탈락비율(%)
2010,국립군산대학교,자연과학계열,3902,240,6.15
2010,국립금오공과대학교,공학계열,8360,341,4.08
2010,국립금오공과대학교,인문사회계열,366,12,3.28
2010,국립금오공과대학교,자연과학계열,991,53,5.35
2010,국립목포대학교,공학계열,5498,272,4.95
2010,국립목포대학교,예체능계열,1226,76,6.2
2010,국립목포대학교,인문사회계열,5635,206,3.66
2010,국립목포대학교,자연과학계열,3586,162,4.52
2010,국립목포해양대학교,공학계열,3104,133,4.28
2010,국립부경대학교,공학계열,14319,467,3.26
2010,국립부경대학교,예체능계열,781,35,4.48
2010,국립부경대학교,인문사회계열,7661,206,2.69
2010,국립부경대학교,자연과학계열,4869,140,2.88
2010,국립순천대학교,공학계열,4878,290,5.95
2010,국립순천대학교,예체능계열,734,50,6.81
2010,국립순천대학교,인문사회계열,4767,204,4.28
2010,국립순천대학교,자연과학계열,3674,211,5.74
2010,국립창원대학교,공학계열,5941,172,2.9
2010,국립창원대학교,예체능계열,1152,56,4.86
2010,국립창원대학교,인문사회계열,5581,130,2.33
2010,국립창원대학교,자연과학계열,2610,88,3.37
2010,국립한국교통대학교,공학계열,1606,71,4.42
2010,국립한국교통대학교,예체능계열,230,13,5.65
2010,국립한국교통대학교,인문사회계열,540,20,3.7
2010,국립한국교통대학교,자연과학계열,572,15,2.62
2010,국립한국해양대학교,공학계열,6165,162,2.63
2010,국립한국해양대학교,예체능계열,253,15,5.93
2010,국립한국해양대학교,인문사회계열,2642,69,2.61
2010,국립한국해양대학교,자연과학계열,863,23,2.67
2010,국민대학교,공학계열,6366,237,3.72
2010,국민대학교,예체능계열,3353,159,4.74
2010,국민대학교,인문사회계열,10275,324,3.15
2010,국민대학교,자연과학계열,3458,125,3.61
2010,극동대학교,공학계열,1390,110,7.91
2010,극동대학교,예체능계열,1323,102,7.71
2010,극동대학교,인문사회계열,3787,257,6.79
2010,극동대학교,자연과학계열,1876,85,4.53
2010,금강대학교,인문사회계열,495,23,4.65
2010,금강대학교,자연과학계열,62,1,1.61
2010,김천대학교,공학계열,81,3,3.7
2010,김천대학교,예체능계열,56,6,10.71
2010,김천대학교,인문사회계열,473,24,5.07
2010,김천대학교,자연과학계열,808,26,3.22
2010,나사렛대학교,공학계열,990,47,4.75
2010,나사렛대학교,예체능계열,1400,39,2.79
2010,나사렛대학교,인문사회계열,5760,210,3.65
2010,나사렛대학교,자연과학계열,2260,84,3.72
