기준년도,학교,계열,편제정원,"재학생 충원율(%)
(B/A) × 100",학교_정규화
2010,상지대학교,인문ㆍ사회계열,4110,102.3,상지대학교
2010,상지대학교,자연과학계열,1815,96.2,상지대학교
2010,상지대학교,공학계열,1105,94.2,상지대학교
2010,상지대학교,의학계열,240,103.3,상지대학교
2010,상지대학교,예ㆍ체능계열,994,90.0,상지대학교
2010,서강대학교,인문ㆍ사회계열,4200,128.6,서강대학교
2010,서강대학교,자연과학계열,856,111.3,서강대학교
2010,서강대학교,공학계열,1564,114.0,서강대학교
2010,서경대학교,인문ㆍ사회계열,2310,123.9,서경대학교
2010,서경대학교,예ㆍ체능계열,1330,98.3,서경대학교
2010,서경대학교,공학계열,1560,102.7,서경대학교
2010,서경대학교,자연과학계열,440,128.0,서경대학교
2010,서울교육대학교,인문ㆍ사회계열,1961,52.6,서울교육대학교
2010,서울기독대학교,인문ㆍ사회계열,440,105.7,서울기독대학교
2010,서울기독대학교,예ㆍ체능계열,240,86.7,서울기독대학교
2010,서울대학교,인문ㆍ사회계열,4611,142.6,서울대학교
2010,서울대학교,자연과학계열,3496,114.5,서울대학교
2010,서울대학교,예ㆍ체능계열,1140,122.5,서울대학교
2010,서울대학교,의학계열,564,116.3,서울대학교
2010,서울대학교,공학계열,3162,116.9,서울대학교
2010,서울시립대학교,공학계열,2640,117.4,서울시립대학교
2010,서울시립대학교,예ㆍ체능계열,548,102.2,서울시립대학교
2010,서울시립대학교,자연과학계열,680,106.8,서울시립대학교
2010,서울시립대학교,인문ㆍ사회계열,3318,125.7,서울시립대학교
2010,서울신학대학교,인문ㆍ사회계열,1820,107.8,서울신학대학교
2010,서울신학대학교,예ㆍ체능계열,340,105.6,서울신학대학교
2010,서울여자대학교,예ㆍ체능계열,800,104.4,서울여자대학교
2010,서울여자대학교,자연과학계열,2200,105.0,서울여자대학교
2010,서울여자대학교,인문ㆍ사회계열,3920,117.2,서울여자대학교
2010,서울장신대학교,예ㆍ체능계열,140,91.4,서울장신대학교
2010,서울장신대학교,인문ㆍ사회계열,348,114.7,서울장신대학교
2010,서울한영대학교,예ㆍ체능계열,80,78.8,서울한영대학교
2010,서울한영대학교,인문ㆍ사회계열,729,95.3,서울한영대학교
2010,서원대학교,인문ㆍ사회계열,3848,94.6,서원대학교
2010,서원대학교,자연과학계열,1295,93.4,서원대학교
2010,서원대학교,공학계열,800,80.8,서원대학교
2010,서원대학교,예ㆍ체능계열,1065,91.0,서원대학교
2010,선문대학교,예ㆍ체능계열,636,84.6,선문대학교
2010,선문대학교,공학계열,2648,87.3,선문대학교
2010,선문대학교,자연과학계열,1242,83.3,선문대학교
2010,선문대학교,인문ㆍ사회계열,4736,104.4,선문대학교
2010,성결대학교,인문ㆍ사회계열,3160,104.7,성결대학교
2010,성결대학교,예ㆍ체능계열,720,116.9,성결대학교
2010,성결대학교,공학계열,1240,95.8,성결대학교
2010,성공회대학교,인문ㆍ사회계열,1400,113.4,성공회대학교
2010,성공회대학교,자연과학계열,160,113.1,성공회대학교
2010,성공회대학교,공학계열,600,88.2,성공회대학교
2010,성균관대학교,예ㆍ체능계열,1197,119.8,성균관대학교
2010,성균관대학교,의학계열,80,156.3,성균관대학교
2010,성균관대학교,공학계열,4599,131.5,성균관대학교
2010,성균관대학교,인문ㆍ사회계열,6667,149.1,성균관대학교
2010,성균관대학교,자연과학계열,1684,112.2,성균관대학교
2010,성신여자대학교,인문ㆍ사회계열,4935,116.9,성신여자대학교
2010,성신여자대학교,자연과학계열,2147,107.8,성신여자대학교
2010,성신여자대학교,예ㆍ체능계열,1794,112.2,성신여자대학교
2010,세명대학교,예ㆍ체능계열,1240,79.6,세명대학교
2010,세명대학교,의학계열,160,119.4,세명대학교
2010,세명대학교,공학계열,1160,95.7,세명대학교
2010,세명대학교,인문ㆍ사회계열,4180,95.1,세명대학교
2010,세명대학교,자연과학계열,1820,95.9,세명대학교
2010,세종대학교,예ㆍ체능계열,1325,111.8,세종대학교
2010,세종대학교,인문ㆍ사회계열,2700,124.3,세종대학교
2010,세종대학교,자연과학계열,1405,96.3,세종대학교
2010,세종대학교,공학계열,3850,118.6,세종대학교
2010,세한대학교,인문ㆍ사회계열,2165,83.1,세한대학교
2010,세한대학교,자연과학계열,860,107.0,세한대학교
2010,세한대학교,공학계열,245,66.5,세한대학교
2010,세한대학교,예ㆍ체능계열,1980,66.1,세한대학교
2010,수원가톨릭대학교,인문ㆍ사회계열,360,44.7,수원가톨릭대학교
2010,수원대학교,인문ㆍ사회계열,2745,118.4,수원대학교
2010,수원대학교,자연과학계열,1545,97.7,수원대학교
2010,수원대학교,공학계열,3690,105.4,수원대학교
2010,수원대학교,예ㆍ체능계열,2500,98.1,수원대학교
2010,숙명여자대학교,인문ㆍ사회계열,5631,121.6,숙명여자대학교
2010,숙명여자대학교,자연과학계열,1961,107.5,숙명여자대학교
2010,숙명여자대학교,예ㆍ체능계열,1520,106.7,숙명여자대학교
2010,순복음총회신학교,인문ㆍ사회계열,200,61.0,순복음총회신학교
2010,순천향대학교,예ㆍ체능계열,1040,93.4,순천향대학교
2010,순천향대학교,인문ㆍ사회계열,4000,126.3,순천향대학교
2010,순천향대학교,자연과학계열,2344,95.7,순천향대학교
2010,순천향대학교,공학계열,2630,95.2,순천향대학교
2010,순천향대학교,의학계열,372,103.8,순천향대학교
2010,숭실대학교,예ㆍ체능계열,180,94.4,숭실대학교
2010,숭실대학교,공학계열,4574,126.1,숭실대학교
2010,숭실대학교,자연과학계열,939,94.1,숭실대학교
2010,숭실대학교,인문ㆍ사회계열,5007,121.6,숭실대학교
2010,신경주대학교,인문ㆍ사회계열,4158,78.2,신경주대학교
2010,신경주대학교,예ㆍ체능계열,485,68.0,신경주대학교
2010,신경주대학교,자연과학계열,500,74.2,신경주대학교
2010,신경주대학교,공학계열,565,55.6,신경주대학교
2010,신라대학교,인문ㆍ사회계열,5226,107.9,신라대학교
