기준년도,학교,학과,등록금
,,음악학과 성악전공,5320000
,,경영학부,3917000
,,건축학부 건축학전공,4821000
,,건축토목공학부(건축학전공),5151000
,,중어중문학과,3973500
,,환경공학과,5148300
,,화학과,4823300
,,화학공학과,5148300
,,"행정학부(공공관리전공, 공공정책전공)",3919000
,,행정학부 공공정책전공,3919000
,,행정학부 공공관리전공,3919000
,,행정학과,3737000
,,한문학과,3973500
,,통계학과,4823300
,,컴퓨터학부,5151000
,,컴퓨터공학과,4969300
,,치의학과,5669000
,,체육교육과,4823300
,,철학과,3973500
,,천연섬유학과,4823300
,,천문대기과학과,4823300
